run,maxOpenCanopiesBelow1000Ft,maxOpenCanopiesBelow500Ft,minHorizontalSeparationFt,fullyOpenAltitudeMinFt,fullyOpenAltitudeMaxFt,fullyOpenAltitudeSpreadFt,canopyCongestionScore,canopyCollisionExposurePairSeconds,estimatedCanopyCollisionRiskPer10k
89,8,5,0.9628803232572717,2687.0137014231063,3150.7451598550383,463.73145843193197,18.45,47.77,0.96
90,8,6,0.1253086951574151,2773.9291553124012,3262.6033037959355,488.6741484835343,32.7,60.13,1.2
91,6,4,0.1152579863609541,2748.316083364988,3027.4403633001234,279.1242799351353,43.6,108.81,2.18
92,8,5,0.2063478510774066,2786.6528785556784,3079.022805275338,292.3699267196598,16.85,95.16,1.9
93,6,4,0.4022596004037225,2670.1080457621083,3162.428649616981,492.32060385487284,1.05,12.71,0.25
94,6,5,0.07019915412853918,2739.0491091844037,3082.7010547916966,343.6519456072929,58,217.89,4.36
95,6,4,0.09073373677567795,2690.845990420607,3092.711092774129,401.86510235352216,28,20.3,0.41
96,6,5,0.01744782662347233,2647.177410198133,3259.2497702220744,612.0723600239412,0,0,0
97,8,5,0.6332138707387539,2643.6669399876578,3144.717850669058,501.0509106814002,3.95,48.36,0.97
98,8,6,0.12697387738998367,2791.264927860937,3173.7457687687174,382.4808409077805,54.1,194.82,3.9
99,8,4,0.04757661050310465,2847.880118206579,3136.6668195869233,288.7867013803443,0,8.99,0.18
100,8,6,0.5131004716055272,2660.563996797298,3207.729370583306,547.1653737860079,11.6,57.69,1.15
101,6,4,0.19363018553644554,2786.0075971645288,3154.189310043228,368.1817128786993,24.55,48.64,0.97
102,6,5,0.0731099282944101,2667.613027520307,3171.0188679875846,503.4058404672778,24.75,109.09,2.18
103,7,5,0.8374492688383294,2730.4898470641974,3131.412411583775,400.92256451957746,2,19.92,0.4
104,7,5,0.011667227468778994,2797.9222349723595,3113.7495880286856,315.82735305632605,0,15.87,0.32
105,9,6,0.005127991900577205,2705.1660602636903,3213.4796461061474,508.3135858424571,4.05,133.42,2.67
106,8,5,0.057659348196685466,2731.9061327066,3066.130280773805,334.2241480672051,50.2,48.69,0.97
107,7,4,0.770841042663543,2747.8000510399625,3205.0738330276345,457.273781987672,12.95,18.03,0.36
108,6,4,0.6077434752708886,2725.0865806912448,3182.005880703652,456.91930001240735,0,0,0
109,7,6,0.008633708104023304,2662.065511412718,3135.158938602084,473.09342718936614,43.8,63.31,1.27
110,7,4,0.05001754263083706,2780.882433589814,3156.847641846675,375.96520825686093,0,0,0
111,7,5,0.09437657237948091,2849.796075510683,3157.7582072675605,307.9621317568776,22.05,54.87,1.1
112,8,4,0.11544350526179636,2673.9715584472347,3086.212213385826,412.24065493859143,60.3,70.46,1.41
