cutoff_year_after_ge,period,cause,observed,expected,std_residual
2014,before,medical,13,20.411971830985916,-1.6405568327389632
2014,before,other_rare_or_unknown,16,35.556338028169016,-3.279661504020155
2014,after,landing,71,67.28521126760563,0.4528707896297258
2014,after,malfunction,32,35.521126760563384,-0.5907970161154594
2014,after,no_pull_or_low_pull,8,18.785211267605632,-2.488402419287154
2014,after,reserve_problem,8,15.369718309859154,-1.879827221626918
2014,after,canopy_collision,10,14.345070422535212,-1.1472167448004016
2014,after,freefall_collision,9,13.661971830985916,-1.2612841909606887
2014,after,medical,18,10.588028169014084,2.277855740004873
2014,after,other_rare_or_unknown,38,18.443661971830984,4.553695204653728
2015,before,landing,133,138.0387323943662,-0.428865205270804
2015,before,malfunction,80,72.87323943661971,0.8348493825292999
2015,before,no_pull_or_low_pull,50,38.5387323943662,1.8462220770094522
2015,before,reserve_problem,38,31.531690140845072,1.1519063999013701
2015,before,canopy_collision,34,29.429577464788732,0.8424891936883946
2015,before,freefall_collision,34,28.028169014084508,1.1280027125907741
2015,before,medical,13,21.721830985915492,-1.871369088365792
2015,before,other_rare_or_unknown,16,37.83802816901409,-3.5501701962203907
2015,after,landing,64,58.9612676056338,0.6562025108339086
2015,after,malfunction,24,31.12676056338028,-1.2773949815722199
2015,after,no_pull_or_low_pull,5,16.461267605633804,-2.824886578815849
2015,after,reserve_problem,7,13.46830985915493,-1.762520863364588
2015,after,canopy_collision,8,12.570422535211268,-1.2890845828811668
2015,after,freefall_collision,6,11.971830985915492,-1.7259460621482077
2015,after,medical,18,9.278169014084508,2.86336377815306
2015,after,other_rare_or_unknown,38,16.161971830985916,5.432081148146546
2016,before,landing,140,145.32218309859155,-0.44149303319686306
2016,before,malfunction,85,76.71830985915493,0.9455172664718612
2016,before,no_pull_or_low_pull,51,40.57218309859155,1.637115078515022
2016,before,reserve_problem,42,33.195422535211264,1.5281620781581309
2016,before,canopy_collision,36,30.982394366197184,0.9014445875241147
2016,before,freefall_collision,34,29.507042253521128,0.8271218525769867
2016,before,medical,15,22.867957746478872,-1.6453122393643824
