year,total_fatalities,unknown_primary_count,canopy_collision_count,canopy_collision_pct,canopy_collision_ci95_low,canopy_collision_ci95_high,freefall_collision_count,freefall_collision_pct,all_collision_count,all_collision_pct,landing_count,landing_pct,malfunction_count,malfunction_pct,no_pull_or_low_pull_count,no_pull_or_low_pull_pct,reserve_problem_count,reserve_problem_pct,medical_count,medical_pct,other_rare_or_unknown_count,other_rare_or_unknown_pct
2010,21,0,5,0.23809523809523808,0.10627856389112261,0.45091581972345923,0,0.0,5,0.23809523809523808,9,0.42857142857142855,1,0.047619047619047616,4,0.19047619047619047,0,0.0,1,0.047619047619047616,1,0.047619047619047616
2011,25,0,7,0.28,0.1428367383738157,0.47576971896558296,1,0.04,8,0.32,6,0.24,5,0.2,2,0.08,1,0.04,1,0.04,2,0.08
2012,19,0,1,0.05263157894736842,0.009351752490529969,0.2463921533654521,1,0.05263157894736842,2,0.10526315789473684,7,0.3684210526315789,6,0.3157894736842105,2,0.10526315789473684,0,0.0,2,0.10526315789473684,0,0.0
2013,24,0,0,0.0,0.0,0.13798057582897535,4,0.16666666666666666,4,0.16666666666666666,7,0.2916666666666667,6,0.25,5,0.20833333333333334,0,0.0,0,0.0,2,0.08333333333333333
2014,24,0,2,0.08333333333333333,0.023158327842973503,0.258492152014506,3,0.125,5,0.20833333333333334,7,0.2916666666666667,8,0.3333333333333333,3,0.125,1,0.041666666666666664,0,0.0,0,0.0
2015,21,0,2,0.09523809523809523,0.026518208796947246,0.2891458386074067,0,0.0,2,0.09523809523809523,7,0.3333333333333333,5,0.23809523809523808,1,0.047619047619047616,4,0.19047619047619047,2,0.09523809523809523,0,0.0
2016,21,0,1,0.047619047619047616,0.008455769471923294,0.22669816586235464,2,0.09523809523809523,3,0.14285714285714285,5,0.23809523809523808,8,0.38095238095238093,0,0.0,2,0.09523809523809523,2,0.09523809523809523,1,0.047619047619047616
2017,24,0,2,0.08333333333333333,0.023158327842973503,0.258492152014506,1,0.041666666666666664,3,0.125,6,0.25,11,0.4583333333333333,1,0.041666666666666664,1,0.041666666666666664,0,0.0,2,0.08333333333333333
2018,13,4,0,0.0,0.0,0.22810184305529166,1,0.07692307692307693,1,0.07692307692307693,2,0.15384615384615385,0,0.0,0,0.0,0,0.0,4,0.3076923076923077,6,0.46153846153846156
2019,15,8,0,0.0,0.0,0.20388926630434784,0,0.0,0,0.0,7,0.4666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,8,0.5333333333333333
2020,11,2,0,0.0,2.7755575615628914e-17,0.2588400172488141,0,0.0,0,0.0,5,0.45454545454545453,0,0.0,0,0.0,0,0.0,2,0.18181818181818182,4,0.36363636363636365
2021,10,1,0,0.0,0.0,0.2775401687666166,0,0.0,0,0.0,5,0.5,0,0.0,0,0.0,0,0.0,3,0.3,2,0.2
2022,20,2,0,0.0,0.0,0.16113012549493322,0,0.0,0,0.0,12,0.6,0,0.0,0,0.0,0,0.0,1,0.05,7,0.35
2023,10,1,0,0.0,0.0,0.2775401687666166,0,0.0,0,0.0,6,0.6,0,0.0,0,0.0,0,0.0,1,0.1,3,0.3
2024,9,0,1,0.1111111111111111,0.019890371327130535,0.4350062147680601,0,0.0,1,0.1111111111111111,4,0.4444444444444444,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,3,0.3333333333333333
2025,16,0,2,0.125,0.034976749337057134,0.3602333143674828,2,0.125,4,0.25,5,0.3125,0,0.0,3,0.1875,0,0.0,2,0.125,2,0.125
