cutoff_year_after_ge,target,before_years,after_years,before_hit,before_total,before_prop,after_hit,after_total,after_prop,diff_pct_points,relative_risk,rr_low,rr_high,odds_ratio,or_low,or_high,fisher_p,two_prop_p,full_distribution_chi2,full_distribution_df,full_distribution_p
2004,landing,1999-2003,2004-2025,57,152,0.375,140,416,0.33653846153846156,-3.8461538461538436,0.8974358974358975,0.7019931985412857,1.1472920131991962,0.8454106280193238,0.5742307914137234,1.2403577211718801,0.4260038589581153,0.39387693380343713,39.57666372292763,7,1.516767759461029e-06
2005,canopy_collision,1999-2004,2005-2025,5,173,0.028901734104046242,37,395,0.09367088607594937,6.476915197190312,3.2410126582278482,1.2959616894515649,8.105303680109843,3.4726256983240225,1.2854753186557109,7.989045679179812,0.005129424678197776,0.0066305017086083495,37.02668377873524,7,4.6363839241762454e-06
2005,all_collision,1999-2004,2005-2025,23,173,0.1329479768786127,59,395,0.14936708860759493,1.6419111728982223,1.1235002751788663,0.7182084256144619,1.7575021725024602,1.1451863354037266,0.6767723968245883,1.89477843218141,0.6975255705956818,0.6083618086409974,37.02668377873524,7,4.6363839241762454e-06
2005,freefall_collision,1999-2004,2005-2025,18,173,0.10404624277456648,22,395,0.05569620253164557,-4.835004024292091,0.5353023909985934,0.2947368923147675,0.9722184676589051,0.5078939529341674,0.2662084465601568,0.9631176077059221,0.049068658850279556,0.03819611787537691,37.02668377873524,7,4.6363839241762454e-06
2005,landing,1999-2004,2005-2025,65,173,0.37572254335260113,132,395,0.3341772151898734,-4.154532816272772,0.8894255111976631,0.7015947739597217,1.1275422356761167,0.8339280491371746,0.574787572401124,1.207091034406784,0.34005232077682934,0.3383604266621223,37.02668377873524,7,4.6363839241762454e-06
2006,canopy_collision,1999-2005,2006-2025,5,200,0.025,37,368,0.10054347826086957,7.554347826086957,4.021739130434782,1.6061443567548537,10.070318751391675,4.3595166163142,1.6149445558097255,10.011657817594058,0.0006542379878318905,0.0010155285296780114,49.55234355737941,7,1.7682941088120545e-08
2006,all_collision,1999-2005,2006-2025,27,200,0.135,55,368,0.14945652173913043,1.4456521739130423,1.1070853462157808,0.7222037834476872,1.697080508156178,1.1259022600875637,0.6820259217832455,1.8291257567792185,0.708294126646906,0.6396258317307999,49.55234355737941,7,1.7682941088120545e-08
2006,freefall_collision,1999-2005,2006-2025,22,200,0.11,18,368,0.04891304347826087,-6.108695652173913,0.4446640316205534,0.24436412974007357,0.8091453570839665,0.4161038961038961,0.22057643028771992,0.7949132075130538,0.009383322423581943,0.006572113834281135,49.55234355737941,7,1.7682941088120545e-08
2006,landing,1999-2005,2006-2025,73,200,0.365,124,368,0.33695652173913043,-2.804347826086956,0.9231685527099465,0.7318114124078257,1.1645625666160544,0.8841230631035257,0.6168090277825973,1.2649575332926926,0.5190965178115621,0.5024150287688098,49.55234355737941,7,1.7682941088120545e-08
2007,canopy_collision,1999-2006,2007-2025,5,221,0.02262443438914027,37,347,0.10662824207492795,8.400380768578767,4.712968299711815,1.8809747320256451,11.808808388493357,5.156129032258065,1.9105478374529363,11.829648285134375,0.00010834468902989151,0.0001914297463150305,63.972355430770534,7,2.4187359505180926e-11
